PRISM Time Series Data
Locations: 9
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 800m
Monthly 1981-2010 Normals
Dataset: Norm81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2021-May-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
A,-118.6777,35.0247,906,January,61.11,2.2,7.3,12.4,-2.9,1.86,9.56
A,-118.6777,35.0247,906,February,66.36,3.0,8.4,13.7,-1.3,1.85,10.20
A,-118.6777,35.0247,906,March,71.56,5.1,10.7,16.3,0.7,2.36,12.71
A,-118.6777,35.0247,906,April,36.43,6.6,12.9,19.1,2.0,3.32,16.50
A,-118.6777,35.0247,906,May,14.29,10.5,17.5,24.5,4.5,4.83,22.43
A,-118.6777,35.0247,906,June,3.73,14.4,21.9,29.3,6.0,7.87,32.11
A,-118.6777,35.0247,906,July,1.88,18.6,25.9,33.1,7.1,12.05,40.91
A,-118.6777,35.0247,906,August,2.81,17.8,25.3,32.7,6.4,10.28,40.06
A,-118.6777,35.0247,906,September,5.20,15.4,22.5,29.5,5.5,9.07,32.87
A,-118.6777,35.0247,906,October,17.94,10.6,17.2,23.9,2.4,5.40,24.37
A,-118.6777,35.0247,906,November,46.94,5.6,11.1,16.5,-1.3,2.98,14.05
A,-118.6777,35.0247,906,December,50.70,2.1,7.2,12.3,-4.0,2.11,10.12
A,-118.6777,35.0247,906,Annual,378.95,9.3,15.6,22.0,2.1,5.33,22.16

B,-118.6728,35.0257,906,January,61.11,2.2,7.3,12.4,-2.9,1.86,9.56
B,-118.6728,35.0257,906,February,66.36,3.0,8.4,13.7,-1.3,1.85,10.20
B,-118.6728,35.0257,906,March,71.56,5.1,10.7,16.3,0.7,2.36,12.71
B,-118.6728,35.0257,906,April,36.43,6.6,12.9,19.1,2.0,3.32,16.50
B,-118.6728,35.0257,906,May,14.29,10.5,17.5,24.5,4.5,4.83,22.43
B,-118.6728,35.0257,906,June,3.73,14.4,21.9,29.3,6.0,7.87,32.11
B,-118.6728,35.0257,906,July,1.88,18.6,25.9,33.1,7.1,12.05,40.91
B,-118.6728,35.0257,906,August,2.81,17.8,25.3,32.7,6.4,10.28,40.06
B,-118.6728,35.0257,906,September,5.20,15.4,22.5,29.5,5.5,9.07,32.87
